Date,Adj Close,,
2018-01-01,40.036572,,2823.810
2018-02-01,40.786152,,2713.830
2018-03-01,38.995968,,2640.870
2018-04-01,39.689678,,2648.050
2018-05-01,43.781754,,2705.270
2018-06-01,40.699409,,2718.370
2018-07-01,41.881287,,2816.290
2018-08-01,40.671719,,2901.520
2018-09-01,40.191452,,2913.980
2018-10-01,35.365643,,2711.740
2018-11-01,31.436127,,2760.170
2018-12-01,26.827873,,2506.850
2019-01-01,32.883842,,2704.100
2019-02-01,33.539898,,2784.490
2019-03-01,31.697544,,2834.400
2019-04-01,28.669804,,2945.830
2019-05-01,22.760279,,2752.060
2019-06-01,27.330435,,2941.760
2019-07-01,28.741903,,2980.380
2019-08-01,24.628098,,2926.460
2019-09-01,27.182125,,2976.740
2019-10-01,27.923143,,3037.560
2019-11-01,31.022648,,3140.980
2019-12-01,31.307766,,3230.780
2020-01-01,27.674019,,3225.520
2020-02-01,24.663958,,2954.220
2020-03-01,20.875917,,2584.590
2020-04-01,22.75861,,2912.430
2020-05-01,24.906,,3044.310
2020-06-01,24.465271,,3100.290
2020-07-01,25.958366,,3271.120
2020-08-01,27.956619,,3500.310
2020-09-01,27.113754,,3363.000
2020-10-01,30.063513,,3269.960
2020-11-01,34.580681,,3621.630
2020-12-01,35.210979,,3756.070
2021-01-01,32.954494,,3714.240
2021-02-01,39.983894,,3811.150
2021-03-01,48.811504,,3972.890
2021-04-01,52.412766,,4181.170
2021-05-01,60.349113,,4204.110
2021-06-01,57.613445,,4297.500
2021-07-01,62.579296,,4395.260
2021-08-01,65.531067,,4522.680
2021-09-01,56.782585,,4307.540
2021-10-01,64.432884,,4605.380
2021-11-01,58.309425,,4567.000
2021-12-01,60.522842,,4766.180
2022-01-01,54.362728,,4515.550
2022-02-01,69.108818,,4373.940
2022-03-01,81.690971,,4530.410
2022-04-01,84.303192,,4131.930
2022-05-01,83.93943,,4132.150
2022-06-01,65.03389,,3785.380
2022-07-01,76.954391,,4130.290
2022-08-01,79.760651,,3955.000
2022-09-01,70.106758,,3585.620
2022-10-01,93.369255,,3871.980
2022-11-01,103.177734,,4080.110
2022-12-01,96.992828,,3839.500
